[2026-03-25T13:23:38.730Z] GET http://localhost:8080/chatbot.html → 200 (4ms, 28829B)
[2026-03-25T13:23:38.739Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (128ms, 320004B)
[2026-03-25T13:23:38.739Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (152ms, 642759B)
[2026-03-25T13:23:38.739Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (127ms, 36054B)
[2026-03-25T13:23:38.739Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (111ms, 20931B)
[2026-03-25T13:26:51.800Z] GET http://localhost:8080/chatbot.html → 200 (1ms, 28833B)
[2026-03-25T13:26:51.803Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (?ms, 320004B)
[2026-03-25T13:26:51.803Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:26:51.804Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (?ms, 36054B)
[2026-03-25T13:26:51.804Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (?ms, 20931B)
[2026-03-25T13:27:18.061Z] GET http://localhost:8080/chatbot.html → 200 (2ms, 28833B)
[2026-03-25T13:27:18.065Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (?ms, 320004B)
[2026-03-25T13:27:18.065Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:27:18.065Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (?ms, 36054B)
[2026-03-25T13:27:18.065Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (1ms, 20931B)
[2026-03-25T13:29:00.798Z] GET http://localhost:8080/chatbot.html → 200 (1ms, 28833B)
[2026-03-25T13:29:00.801Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (1ms, 320004B)
[2026-03-25T13:29:00.802Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:29:00.802Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (1ms, 36054B)
[2026-03-25T13:29:00.803Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (?ms, 20931B)
[2026-03-25T13:29:48.052Z] GET http://localhost:8080/chatbot.html → 200 (1ms, 28962B)
[2026-03-25T13:29:48.055Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (?ms, 320004B)
[2026-03-25T13:29:48.056Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:29:48.056Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (?ms, 36054B)
[2026-03-25T13:29:48.056Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (?ms, 20931B)
[2026-03-25T13:30:06.987Z] GET http://localhost:8080/chatbot.html → 200 (1ms, 28962B)
[2026-03-25T13:30:06.990Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (?ms, 320004B)
[2026-03-25T13:30:06.990Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:30:06.990Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (?ms, 36054B)
[2026-03-25T13:30:06.990Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (?ms, 20931B)
[2026-03-25T13:36:24.657Z] GET http://localhost:8080/chatbot.html → 200 (1ms, 28962B)
[2026-03-25T13:36:24.660Z] GET https://cdnjs.cloudflare.com/ajax/libs/pdf.js/3.11.174/pdf.min.js → 200 (?ms, 320004B)
[2026-03-25T13:36:24.660Z] GET https://cdnjs.cloudflare.com/ajax/libs/mammoth/1.6.0/mammoth.browser.min.js → 200 (?ms, 642759B)
[2026-03-25T13:36:24.661Z] GET https://cdn.jsdelivr.net/npm/marked@9.1.6/marked.min.js → 200 (?ms, 36054B)
[2026-03-25T13:36:24.661Z] GET https://cdnjs.cloudflare.com/ajax/libs/dompurify/3.0.6/purify.min.js → 200 (?ms, 20931B)
